frame,t,yellow_frac
960,32.0000,0.00018
961,32.0333,0.00018
962,32.0667,0.00018
963,32.1000,0.00018
964,32.1333,0.00018
965,32.1667,0.00018
966,32.2000,0.00013
967,32.2333,0.00005
968,32.2667,0.00013
969,32.3000,0.00011
970,32.3333,0.00012
971,32.3667,0.00010
972,32.4000,0.00008
973,32.4333,0.00006
974,32.4667,0.00002
975,32.5000,0.00002
976,32.5333,0.00007
977,32.5667,0.00005
978,32.6000,0.00010
979,32.6333,0.00010
980,32.6667,0.00014
981,32.7000,0.00012
982,32.7333,0.00017
983,32.7667,0.00006
984,32.8000,0.00014
985,32.8333,0.00011
986,32.8667,0.00013
987,32.9000,0.00019
988,32.9333,0.00012
989,32.9667,0.00005
990,33.0000,0.00023
991,33.0333,0.00019
992,33.0667,0.00014
993,33.1000,0.00012
994,33.1333,0.00014
995,33.1667,0.00016
996,33.2000,0.00018
997,33.2333,0.00019
998,33.2667,0.00016
999,33.3000,0.00016
1000,33.3333,0.00017
1001,33.3667,0.00014
1002,33.4000,0.00014
1003,33.4333,0.00008
1004,33.4667,0.00011
1005,33.5000,0.00013
1006,33.5333,0.00014
1007,33.5667,0.00014
1008,33.6000,0.00016
1009,33.6333,0.00016
1010,33.6667,0.00017
1011,33.7000,0.00017
1012,33.7333,0.00017
1013,33.7667,0.00016
1014,33.8000,0.00016
1015,33.8333,0.00016
1016,33.8667,0.00016
1017,33.9000,0.00016
1018,33.9333,0.00016
1019,33.9667,0.00016
1020,34.0000,0.00016
1021,34.0333,0.00016
1022,34.0667,0.00016
1023,34.1000,0.00016
1024,34.1333,0.00016
1025,34.1667,0.00016
1026,34.2000,0.00016
1027,34.2333,0.00017
1028,34.2667,0.00016
1029,34.3000,0.00017
1030,34.3333,0.00023
1031,34.3667,0.00022
1032,34.4000,0.00031
1033,34.4333,0.00053
1034,34.4667,0.00104
1035,34.5000,0.00160
1036,34.5333,0.00178
1037,34.5667,0.00177
1038,34.6000,0.00178
1039,34.6333,0.00189
1040,34.6667,0.00193
1041,34.7000,0.00206
1042,34.7333,0.00207
1043,34.7667,0.00218
1044,34.8000,0.00223
1045,34.8333,0.00230
1046,34.8667,0.00233
1047,34.9000,0.00236
1048,34.9333,0.00238
1049,34.9667,0.00238
1050,35.0000,0.00238
1051,35.0333,0.00238
1052,35.0667,0.00238
1053,35.1000,0.00238
1054,35.1333,0.00238
1055,35.1667,0.00238
1056,35.2000,0.00238
1057,35.2333,0.00239
1058,35.2667,0.00239
1059,35.3000,0.00239
1060,35.3333,0.00239
1061,35.3667,0.00239
1062,35.4000,0.00239
1063,35.4333,0.00239
1064,35.4667,0.00238
1065,35.5000,0.00238
1066,35.5333,0.00238
1067,35.5667,0.00238
1068,35.6000,0.00236
1069,35.6333,0.00238
1070,35.6667,0.00238
1071,35.7000,0.00238
1072,35.7333,0.00238
1073,35.7667,0.00238
1074,35.8000,0.00238
1075,35.8333,0.00238
1076,35.8667,0.00238
1077,35.9000,0.00238
1078,35.9333,0.00238
1079,35.9667,0.00238
1080,36.0000,0.00238
1081,36.0333,0.00238
1082,36.0667,0.00238
1083,36.1000,0.00238
1084,36.1333,0.00238
1085,36.1667,0.00238
1086,36.2000,0.00238
1087,36.2333,0.00238
